180305-15:33:02 login login successful 
180305-15:33:02 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.59.96.94', 80) 
180305-16:25:59 direct_request ori:(u'0.0.0.0', 0), dest:(u'104.18.37.137', 80) 
180305-16:25:59 direct_request ori:(u'0.0.0.0', 0), dest:(u'54.192.7.17', 443) 
180305-16:26:00 direct_request ori:(u'0.0.0.0', 0), dest:(u'54.192.7.56', 80) 
180305-16:26:00 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.59.96.94', 80) 
180305-16:26:00 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.59.96.94', 80) 
180305-16:26:00 direct_request ori:(u'0.0.0.0', 0), dest:(u'174.137.155.139', 80) 
180305-16:26:01 direct_request ori:(u'0.0.0.0', 0), dest:(u'69.89.74.102', 80) 
180305-16:26:01 direct_request ori:(u'0.0.0.0', 0), dest:(u'34.231.19.250', 80) 
180305-16:26:01 direct_request ori:(u'0.0.0.0', 0), dest:(u'212.32.250.2', 443) 
180305-16:26:01 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.54.152.232', 443) 
180305-16:26:01 direct_request ori:(u'0.0.0.0', 0), dest:(u'104.25.226.6', 443) 
180305-16:26:31 login login successful 
180305-16:26:32 direct_request ori:(u'0.0.0.0', 0), dest:(u'23.101.203.214', 80) 
180305-16:26:32 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.59.96.94', 80) 
180305-16:26:32 direct_request ori:(u'0.0.0.0', 0), dest:(u'54.192.7.56', 80) 
180305-16:26:33 direct_request ori:(u'0.0.0.0', 0), dest:(u'50.22.46.25', 80) 
180305-16:26:33 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.59.96.94', 80) 
180305-16:26:33 direct_request ori:(u'0.0.0.0', 0), dest:(u'208.111.178.129', 80) 
180305-16:26:33 direct_request ori:(u'0.0.0.0', 0), dest:(u'31.220.24.95', 80) 
180305-16:26:34 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.59.96.94', 80) 
180305-16:26:34 direct_request ori:(u'0.0.0.0', 0), dest:(u'69.89.74.102', 80) 
180305-16:26:34 direct_request ori:(u'0.0.0.0', 0), dest:(u'54.192.7.56', 80) 
180305-16:26:34 direct_request ori:(u'0.0.0.0', 0), dest:(u'198.134.116.16', 80) 
180305-16:26:34 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.59.96.94', 80) 
180305-16:26:34 direct_request ori:(u'0.0.0.0', 0), dest:(u'69.89.74.102', 80) 
180305-16:26:35 direct_request ori:(u'0.0.0.0', 0), dest:(u'198.134.116.16', 80) 
180305-16:26:35 direct_request ori:(u'0.0.0.0', 0), dest:(u'104.25.226.6', 443) 
180305-16:26:35 direct_request ori:(u'0.0.0.0', 0), dest:(u'50.22.46.25', 80) 
180305-16:26:35 direct_request ori:(u'0.0.0.0', 0), dest:(u'131.153.42.226', 80) 
180305-16:26:35 direct_request ori:(u'0.0.0.0', 0), dest:(u'50.22.46.25', 80) 
180305-16:26:35 direct_request ori:(u'0.0.0.0', 0), dest:(u'104.25.226.6', 443) 
180305-16:26:35 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.59.96.94', 80) 
180305-16:26:35 direct_request ori:(u'0.0.0.0', 0), dest:(u'198.134.116.16', 80) 
180305-16:26:36 direct_request ori:(u'0.0.0.0', 0), dest:(u'66.155.97.85', 80) 
180305-16:26:36 direct_request ori:(u'0.0.0.0', 0), dest:(u'69.89.74.102', 80) 
180305-16:26:37 direct_request ori:(u'0.0.0.0', 0), dest:(u'50.22.46.25', 80) 
180305-16:26:37 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.54.166.81', 80) 
180305-16:26:37 direct_request ori:(u'0.0.0.0', 0), dest:(u'104.25.226.6', 443) 
180305-16:26:37 direct_request ori:(u'0.0.0.0', 0), dest:(u'50.22.46.25', 80) 
180305-16:26:38 direct_request ori:(u'0.0.0.0', 0), dest:(u'208.111.178.129', 80) 
180305-16:26:38 direct_request ori:(u'0.0.0.0', 0), dest:(u'50.22.46.25', 80) 
180305-16:26:38 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.59.96.94', 80) 
180305-16:26:39 direct_request ori:(u'0.0.0.0', 0), dest:(u'31.220.24.95', 80) 
180305-16:26:39 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.59.96.94', 80) 
180305-16:26:39 direct_request ori:(u'0.0.0.0', 0), dest:(u'50.22.46.25', 80) 
180305-16:26:40 direct_request ori:(u'0.0.0.0', 0), dest:(u'31.220.24.95', 80) 
180305-16:26:40 direct_request ori:(u'0.0.0.0', 0), dest:(u'50.22.46.25', 80) 
180305-16:26:40 direct_request ori:(u'0.0.0.0', 0), dest:(u'69.89.74.102', 80) 
180305-16:26:41 direct_request ori:(u'0.0.0.0', 0), dest:(u'208.111.178.129', 80) 
180305-16:26:41 direct_request ori:(u'0.0.0.0', 0), dest:(u'104.25.226.6', 443) 
180305-16:26:42 direct_request ori:(u'0.0.0.0', 0), dest:(u'31.220.24.95', 80) 
180305-16:26:43 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.59.96.94', 80) 
180305-16:26:44 direct_request ori:(u'0.0.0.0', 0), dest:(u'69.89.74.102', 80) 
180305-16:26:44 direct_request ori:(u'0.0.0.0', 0), dest:(u'54.192.7.138', 80) 
180305-16:26:45 direct_request ori:(u'0.0.0.0', 0), dest:(u'54.192.7.138', 80) 
180305-16:27:14 login login successful 
180305-16:27:15 direct_request ori:(u'0.0.0.0', 0), dest:(u'54.192.7.138', 80) 
180305-16:27:15 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.29.120.144', 80) 
180305-16:27:15 direct_request ori:(u'0.0.0.0', 0), dest:(u'198.134.116.16', 80) 
180305-16:27:16 direct_request ori:(u'0.0.0.0', 0), dest:(u'198.134.116.16', 80) 
180305-16:27:16 direct_request ori:(u'0.0.0.0', 0), dest:(u'69.89.74.102', 80) 
180305-16:27:16 direct_request ori:(u'0.0.0.0', 0), dest:(u'54.192.7.138', 80) 
180305-16:27:16 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.29.120.144', 80) 
180305-16:27:17 direct_request ori:(u'0.0.0.0', 0), dest:(u'54.192.7.138', 80) 
180305-16:27:17 direct_request ori:(u'0.0.0.0', 0), dest:(u'131.153.42.226', 80) 
180305-16:27:17 direct_request ori:(u'0.0.0.0', 0), dest:(u'172.217.4.46', 80) 
180305-16:27:17 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.29.120.144', 80) 
180305-16:27:17 direct_request ori:(u'0.0.0.0', 0), dest:(u'198.134.116.17', 80) 
180305-16:27:17 direct_request ori:(u'0.0.0.0', 0), dest:(u'104.25.226.6', 443) 
180305-16:27:18 direct_request ori:(u'0.0.0.0', 0), dest:(u'205.147.93.132', 80) 
180305-16:27:18 direct_request ori:(u'0.0.0.0', 0), dest:(u'131.153.42.226', 80) 
180305-16:27:18 direct_request ori:(u'0.0.0.0', 0), dest:(u'184.172.1.99', 80) 
180305-16:27:19 direct_request ori:(u'0.0.0.0', 0), dest:(u'69.89.74.102', 80) 
180305-16:27:20 direct_request ori:(u'0.0.0.0', 0), dest:(u'185.127.18.225', 80) 
180305-16:27:20 direct_request ori:(u'0.0.0.0', 0), dest:(u'104.25.226.6', 443) 
180305-16:27:20 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.29.120.144', 80) 
180305-16:27:21 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.29.120.144', 80) 
180305-16:27:21 direct_request ori:(u'0.0.0.0', 0), dest:(u'31.220.24.95', 80) 
180305-16:27:21 direct_request ori:(u'0.0.0.0', 0), dest:(u'69.89.74.102', 80) 
180305-16:27:21 direct_request ori:(u'0.0.0.0', 0), dest:(u'69.89.74.102', 80) 
180305-16:27:22 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.29.120.144', 80) 
180305-16:27:22 direct_request ori:(u'0.0.0.0', 0), dest:(u'104.25.226.6', 443) 
180305-16:27:22 direct_request ori:(u'0.0.0.0', 0), dest:(u'69.89.74.102', 80) 
180305-16:27:23 direct_request ori:(u'0.0.0.0', 0), dest:(u'104.25.226.6', 443) 
180305-17:09:36 login login successful 
180305-17:09:36 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.59.96.94', 80) 
180305-17:09:37 direct_request ori:(u'0.0.0.0', 0), dest:(u'184.172.1.99', 80) 
180305-17:09:37 direct_request ori:(u'0.0.0.0', 0), dest:(u'34.195.127.96', 80) 
180305-17:09:37 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.59.96.94', 80) 
180305-17:09:38 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.59.96.94', 80) 
180305-17:09:38 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.54.152.232', 443) 
180305-17:09:38 direct_request ori:(u'0.0.0.0', 0), dest:(u'184.172.1.99', 80) 
180305-17:09:39 direct_request ori:(u'0.0.0.0', 0), dest:(u'69.89.74.102', 80) 
180305-17:09:39 direct_request ori:(u'0.0.0.0', 0), dest:(u'69.89.74.102', 80) 
180305-17:09:40 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.59.96.94', 80) 
180305-17:09:40 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.59.96.94', 80) 
180305-17:09:40 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.59.96.94', 80) 
180305-17:09:40 direct_request ori:(u'0.0.0.0', 0), dest:(u'208.111.178.129', 80) 
180305-17:09:41 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.29.120.144', 80) 
180305-17:09:41 direct_request ori:(u'0.0.0.0', 0), dest:(u'104.25.227.6', 443) 
180305-17:09:41 direct_request ori:(u'0.0.0.0', 0), dest:(u'184.172.1.99', 80) 
180305-17:09:41 direct_request ori:(u'0.0.0.0', 0), dest:(u'69.89.74.102', 80) 
180305-17:09:41 direct_request ori:(u'0.0.0.0', 0), dest:(u'205.185.216.42', 443) 
180305-17:09:41 direct_request ori:(u'0.0.0.0', 0), dest:(u'69.89.74.102', 80) 
180305-17:09:41 direct_request ori:(u'0.0.0.0', 0), dest:(u'69.89.74.102', 80) 
180305-17:09:41 direct_request ori:(u'0.0.0.0', 0), dest:(u'104.25.227.6', 443) 
180305-17:09:42 direct_request ori:(u'0.0.0.0', 0), dest:(u'69.89.74.102', 80) 
180305-17:09:42 direct_request ori:(u'0.0.0.0', 0), dest:(u'72.21.81.253', 80) 
180305-17:09:43 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.29.120.144', 80) 
180305-17:09:43 direct_request ori:(u'0.0.0.0', 0), dest:(u'104.25.227.6', 443) 
180305-17:09:44 direct_request ori:(u'0.0.0.0', 0), dest:(u'69.89.74.102', 80) 
180305-17:09:44 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.29.120.144', 80) 
180305-17:09:45 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.29.120.144', 80) 
180305-17:09:45 direct_request ori:(u'0.0.0.0', 0), dest:(u'104.25.227.6', 443) 
180305-17:09:45 direct_request ori:(u'0.0.0.0', 0), dest:(u'69.89.74.102', 80) 
180305-17:09:46 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.29.120.144', 80) 
180305-17:09:46 direct_request ori:(u'0.0.0.0', 0), dest:(u'104.25.227.6', 443) 
180305-17:09:46 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.29.120.144', 80) 
180305-17:09:47 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.29.120.144', 80) 
